iter	Passed	Remaining
0	4040	4036059
1	7281	3633322
2	9564	3178717
3	12185	303422844	14791	294347655	17271	286135066	19947	28296837	20007	2480874
8	22557	2483832
9	24851	2460301
10	27505	2473033
11	30087	2477166
12	30089	2284510
113	30634	2157516
14	30657	2013161515	33094	2035281116	35797	206992117	38558	2103587
18	41186	2126537
19	41192	2018422220	44089	2055403221	46429	206402322	49547	2104693
223	49116	1997418224	51733	2017587225	54519	2042393226	57579	2074982
27	60006	2083079
28	62409	2089628
29	65195	2107990
30	67771	2118414
31	70073	2119735
32	72793	2133083
33	75882	2155950
34	78667	2168963
35	81154	2173130
36	83408	2170866
37	86348	2185989
38	89009	2193275
39	91741	2201794
40	94308	2205909
41	96732	2206412
42	99330	2210674
43	101995	2216090
44	104889	2225981
45	104896	2175458
46	107421	2178147
47	109699	2175709
48	112007	2173850
49	114808	2181357
50	117218	2181187
51	119535	2179217
52	121995	2179805
53	124373	2178839
54	126790	2178493
55	130047	2192222
56	132849	2197850
57	135991	2208683
58	139090	2218376
59	141762	2220947
60	144449	2223577
61	146909	2222594
62	149520	2223815
63	152114	2224674
64	154713	2225492
65	157102	2223233
66	159778	2224975
67	162331	2224890
68	164963	2225806
69	167367	2223598
70	169584	2218929
71	172055	2217605
72	174831	2220116
73	177415	2220092
74	180061	2220756
75	182241	2215668
76	185009	2217714
77	187165	2212390
78	189804	2212784
79	192282	2211246
80	195134	2213930
81	197752	2213864
82	200110	2210856
83	203311	2217059
84	205589	2213107
85	208528	2216219
86	211158	2215953
87	213975	2217559
88	216451	2215589
89	218944	2213774
90	221463	2212197
91	224407	2214807
92	227144	2215268
93	229720	2214117
94	232425	2214160
95	234733	2210403
96	237148	2207681
97	239632	2205597
98	242222	2204466
99	244645	2201812
100	247149	2199875
101	249692	2198271
102	252702	2200720
103	255623	2202291
104	258517	2203550
105	261024	2201468
106	263499	2199114
107	266266	2199167
108	268882	2197930
109	271536	2196976
110	273882	2193530
111	276408	2191527
112	279196	2191567
113	281522	2187970
114	283994	2185520
115	286587	2183994
116	289148	2182206
117	291552	2179232
118	293915	2175962
119	296417	2173731
120	299639	2176721
121	302161	2174569
122	305033	2174912
123	307428	2171836
124	309963	2169741
125	312516	2167772
126	315088	2165924
127	317868	2165479
128	320504	2164027
129	322897	2160931
130	325170	2157045
131	327829	2155727
132	330607	2155164
133	333094	2152686
134	336193	2154128
135	338528	2150651
136	341209	2149369
137	343643	2146526
138	346164	2144227
139	348496	2140763
140	351219	2139701
141	353974	2138801
142	356568	2136918
143	359335	2136047
144	361952	2134270
145	364215	2130412
146	366590	2127224
147	370416	2132398
148	373213	2131576
149	375659	2128738
150	378436	2127765
151	380712	2123973
152	383241	2121603
153	385695	2118820
154	388334	2117048
155	390657	2113557
156	393237	2111458
157	395728	2108884
158	397927	2104759
159	400366	2101925
160	403025	2100239
161	405609	2098151
162	408098	2095571
163	410358	2091829
164	413195	2091020
165	415756	2088803
166	418253	2086257
167	420913	2084522
168	423552	2082675
169	425827	2079038
170	428287	2076319
171	430754	2073632
172	433442	2072003
173	435900	2069275
174	438678	2068057
175	441369	2066411
176	443751	2063318
177	446355	2061258
178	448627	2057669
179	451058	2054821
180	453286	2051058
181	456065	2049787
182	458559	2047230
183	461445	2046410
184	463715	2042856
185	466563	2041840
186	468758	2037970
187	471375	2035939
188	474090	2034324
189	476451	2031189
190	478964	2028703
191	481274	2025363
192	483478	2021590
193	486086	2019513
194	489270	2019809
195	491760	2017220
196	494421	2015333
197	497077	2013414
198	499511	2010596
199	502073	2008292
200	504433	2005186
201	506684	2001653
202	509247	1999360
203	511707	1996664
204	514150	1993900
205	516548	1990967
206	519062	1988485
207	521328	1985059
208	524047	1983356
209	526500	1980644
210	529393	1979579
211	532161	1978033
212	534621	1975340
213	536986	1972295
214	539401	1969441
215	541664	1966042
216	544480	1964647
217	547186	1962842
218	550047	1961584
219	552488	1958822
220	554917	1956020
221	557503	1953774
222	559939	1950998
223	562886	1950000
224	565202	1946809
225	567806	1944610
226	570228	1941789
227	572322	1937862
228	574681	1934843
229	577313	1932744
230	579880	1930426
231	582344	1927760
232	584814	1925119
233	587396	1922845
234	589606	1919357
235	592052	1916644
236	594150	1912812
237	597275	1912284
238	600522	1912122
239	603172	1910046
240	605503	1906958
241	608092	1904686
242	610489	1901812
243	612733	1898470
244	615278	1896061
245	617679	1893211
246	620575	1891876
247	623049	1889247
248	625388	1886212
